filename,rank,keyword,score
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,1,helena,0.091905
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,2,domin,0.076979
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,3,alquist,0.036932
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,4,gall,0.033372
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,5,fabry,0.027143
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,6,hallemeier,0.022916
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,7,busman,0.020691
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,8,heleno,0.020468
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,9,dr,0.019232
13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,10,roboti,0.018689
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,1,ježíš,0.034398
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,2,bůh,0.024798
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,3,pán,0.024008
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,4,boží,0.013602
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,5,maria,0.011015
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,6,boha,0.009597
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,7,stvořil,0.009116
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,8,svatý,0.007500
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,9,svatého,0.006837
16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,10,dal,0.006779
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,1,la,0.058426
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,2,kaj,0.031851
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,3,al,0.029029
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,4,de,0.020888
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,5,en,0.015631
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,6,estas,0.013000
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,7,l,0.012836
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,8,regho,0.012350
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,9,sed,0.009750
24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,10,mia,0.008450
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,1,toneček,0.011242
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,2,tam,0.007295
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,3,strýček,0.007022
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,4,joza,0.006643
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,5,fanek,0.006583
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,6,šak,0.005705
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,7,petr,0.005679
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,8,oldřich,0.005110
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,9,no,0.004867
27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,10,chlapci,0.004867
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,1,lojza,0.042502
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,2,mirek,0.024208
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,3,fanek,0.021814
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,4,cyril,0.021200
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,5,milan,0.014429
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,6,vašek,0.010344
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,7,jožka,0.010223
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,8,chlapci,0.008292
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,9,hajný,0.008091
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,10,kluci,0.007795
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,1,ali,0.048137
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,2,král,0.024218
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,3,aliho,0.016486
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,4,pokladu,0.014724
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,5,alimu,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,6,králi,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,7,dvořané,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,8,strážce,0.011006
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,9,královského,0.008573
